year,month,state_code,deaths
2001,2,ACT,2
2001,2,NSW,39
2001,2,NT,5
2001,2,QLD,17
2001,2,SA,12
2001,2,TAS,8
2001,2,VIC,30
2001,2,WA,10
2001,3,NSW,42
2001,3,NT,2
2001,3,QLD,20
2001,3,SA,16
2001,3,TAS,14
2001,3,VIC,31
2001,3,WA,14
2001,4,NSW,42
2001,4,NT,4
2001,4,QLD,22
2001,4,SA,9
2001,4,TAS,4
2001,4,VIC,32
2001,4,WA,19
2001,5,ACT,2
2001,5,NSW,56
2001,5,NT,4
2001,5,QLD,30
2001,5,SA,10
2001,5,TAS,5
2001,5,VIC,31
2001,5,WA,17
2001,6,ACT,1
2001,6,NSW,35
2001,6,NT,7
2001,6,QLD,30
2001,6,SA,23
2001,6,TAS,7
2001,6,VIC,41
2001,6,WA,10
2001,7,ACT,1
2001,7,NSW,44
2001,7,QLD,36
2001,7,SA,8
2001,7,TAS,2
2001,7,VIC,34
2001,7,WA,17
2001,8,ACT,2
2001,8,NSW,51
2001,8,NT,5
2001,8,QLD,22
2001,8,SA,15
2001,8,TAS,4
2001,8,VIC,37
2001,8,WA,12
2001,9,ACT,2
2001,9,NSW,35
2001,9,NT,5
2001,9,QLD,34
2001,9,SA,14
2001,9,TAS,5
2001,9,VIC,35
2001,9,WA,13
2001,10,NSW,46
2001,10,NT,3
2001,10,QLD,33
2001,10,SA,13
2001,10,TAS,3
2001,10,VIC,51
2001,10,WA,14
2001,11,ACT,1
2001,11,NSW,46
2001,11,NT,4
2001,11,QLD,28
2001,11,SA,14
2001,11,TAS,4
2001,11,VIC,41
2001,11,WA,14
2001,12,ACT,3
2001,12,NSW,50
2001,12,NT,8
2001,12,QLD,27
2001,12,SA,12
2001,12,VIC,37
2001,12,WA,11
2002,1,NSW,39
2002,1,NT,1
2002,1,QLD,23
2002,1,SA,15
2002,1,TAS,3
2002,1,VIC,32
2002,1,WA,7
2002,2,NSW,45
2002,2,NT,5
2002,2,QLD,20
2002,2,SA,9
2002,2,TAS,4
2002,2,VIC,31
2002,2,WA,20
2002,3,NSW,50
2002,3,NT,1
2002,3,QLD,25
2002,3,SA,5
2002,3,TAS,7
2002,3,VIC,45
2002,3,WA,18
2002,4,ACT,1
2002,4,NSW,46
2002,4,NT,4
2002,4,QLD,24
2002,4,SA,15
2002,4,TAS,7
2002,4,VIC,31
2002,4,WA,10
2002,5,ACT,2
2002,5,NSW,56
2002,5,NT,5
2002,5,QLD,27
2002,5,SA,12
2002,5,TAS,3
2002,5,VIC,45
2002,5,WA,22
2002,6,ACT,1
2002,6,NSW,57
2002,6,NT,3
2002,6,QLD,20
2002,6,SA,12
2002,6,TAS,2
2002,6,VIC,32
2002,6,WA,13
2002,7,ACT,1
2002,7,NSW,35
2002,7,NT,5
2002,7,QLD,27
2002,7,SA,15
2002,7,TAS,1
2002,7,VIC,27
2002,7,WA,16
2002,8,ACT,3
2002,8,NSW,51
2002,8,NT,7
2002,8,QLD,35
2002,8,SA,6
2002,8,TAS,4
2002,8,VIC,25
2002,8,WA,20
2002,9,NSW,50
2002,9,NT,6
2002,9,QLD,31
2002,9,SA,13
2002,9,TAS,1
2002,9,VIC,31
2002,9,WA,11
2002,10,ACT,1
2002,10,NSW,45
2002,10,NT,4
2002,10,QLD,37
2002,10,SA,15
2002,10,TAS,1
2002,10,VIC,30
2002,10,WA,19
2002,11,ACT,1
2002,11,NSW,43
2002,11,NT,9
2002,11,QLD,30
2002,11,SA,16
2002,11,TAS,3
2002,11,VIC,31
2002,11,WA,14
2002,12,NSW,44
2002,12,NT,5
2002,12,QLD,23
2002,12,SA,21
2002,12,TAS,1
2002,12,VIC,37
2002,12,WA,9
2003,1,NSW,42
2003,1,NT,6
2003,1,QLD,21
2003,1,SA,11
2003,1,TAS,7
2003,1,VIC,21
2003,1,WA,19
2003,2,ACT,3
2003,2,NSW,40
2003,2,NT,2
2003,2,QLD,17
2003,2,SA,14
2003,2,VIC,41
